2026-04-30T14:56:55.378640 WARN empty_response doc_type=A11 start=201912270004 end=202003260004 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YAT-APG------L'}
2026-04-30T14:56:56.915755 WARN empty_response doc_type=A11 start=202003260005 end=202006240005 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YAT-APG------L'}
2026-04-30T14:56:58.248569 WARN empty_response doc_type=A11 start=202006240006 end=202009220006 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YAT-APG------L'}
2026-04-30T14:56:59.891518 WARN empty_response doc_type=A11 start=202009220007 end=202012210007 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YAT-APG------L'}
2026-04-30T14:57:02.213796 WARN empty_response doc_type=A11 start=202012210008 end=202103210008 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YAT-APG------L'}
2026-04-30T14:57:03.978113 WARN empty_response doc_type=A11 start=202103210009 end=202106190009 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YAT-APG------L'}
2026-04-30T14:57:05.302811 WARN empty_response doc_type=A11 start=202106190010 end=202109170010 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YAT-APG------L'}
2026-04-30T14:57:06.950824 WARN empty_response doc_type=A11 start=202109170011 end=202112160011 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YAT-APG------L'}
2026-04-30T14:57:08.196473 WARN empty_response doc_type=A11 start=202112160012 end=202203160012 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YAT-APG------L'}
2026-04-30T14:57:09.490389 WARN empty_response doc_type=A11 start=202203160013 end=202206140013 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YAT-APG------L'}
2026-04-30T14:57:10.753266 WARN empty_response doc_type=A11 start=202206140014 end=202209120014 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YAT-APG------L'}
2026-04-30T14:57:11.982046 WARN empty_response doc_type=A11 start=202209120015 end=202212110015 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YAT-APG------L'}
2026-04-30T14:57:13.329818 WARN empty_response doc_type=A11 start=202212110016 end=202303110016 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YAT-APG------L'}
